1.19329 0.025615 1116 hard_vertexbatch_1116checks.png
1.14981 0.0633695 2681 hard_vertexbatch_2681checks.png
1.07695 0.0640888 2689 hard_vertexbatch_2689checks.png
1.06707 0.13451 5819 hard_vertexbatch_5819checks.png
1.01834 0.328915 12732 hard_vertexbatch_12732checks.png
0.99963 0.470643 18559 hard_vertexbatch_18559checks.png
0.998318 0.683916 26152 hard_vertexbatch_26152checks.png
0.993019 0.717603 27164 hard_vertexbatch_27164checks.png
0.973817 0.914476 33960 hard_vertexbatch_33960checks.png
0.943966 1.05637 38430 hard_vertexbatch_38430checks.png
0.930088 1.13566 41425 hard_vertexbatch_41425checks.png
0.923342 1.74188 63197 hard_vertexbatch_63197checks.png
0.908268 2.03006 72622 hard_vertexbatch_72622checks.png
0.903401 2.33573 77482 hard_vertexbatch_77482checks.png
0.900548 2.34364 77817 hard_vertexbatch_77817checks.png
0.89697 3.39862 104235 hard_vertexbatch_104235checks.png
0.896407 3.4423 104320 hard_vertexbatch_104320checks.png
